ID,Word
1,Car
2,Truck
3,Bus
4,Van
5,Bike
6,Motorcycle
7,Scooter
8,Skateboard
9,Boat
10,Ship
11,Submarine
12,Plane
13,Jet
14,Rocket
15,Helicopter
16,Drone
17,Train
18,Tram
19,Subway
20,Metro
21,Taxi
22,Uber
23,Ambulance
24,Police
25,Fire
26,Tractor
27,Crane
28,Bulldozer
29,Excavator
30,Forklift
31,Cart
32,Wagon
33,Sled
34,Sleigh
35,Carriage
36,Chariot
37,Rickshaw
38,Segway
39,Hoverboard
40,Spaceship
41,Satellite
42,Station
43,Probe
44,Rover
45,Lander
46,Orbiter
47,Capsule
48,Module
49,Shuttle
50,UFO
